index_id	singers	songNames	Songindexs	startTimes	endTimes	fullNames	if_lyrics_exists	rawFormat	audioDuration	isDone	singers_zh	songNames_zh
49	CeTian	BingQiLinZhiWei	1	20.06	24.33	CeTian_BingQiLinZhiWei_1_20.06_24.33.wav	TRUE	mp3	196.17	FALSE	??	?????
60	CeTian	BingQiLinZhiWei	2	24.7	29.02	CeTian_BingQiLinZhiWei_2_24.70_29.02.wav	TRUE	mp3	196.17	FALSE	??	?????
71	CeTian	BingQiLinZhiWei	3	29.27	33.68	CeTian_BingQiLinZhiWei_3_29.27_33.68.wav	TRUE	mp3	196.17	FALSE	??	?????
76	CeTian	BingQiLinZhiWei	4	33.7	35.64	CeTian_BingQiLinZhiWei_4_33.70_35.64.wav	TRUE	mp3	196.17	FALSE	??	?????
77	CeTian	BingQiLinZhiWei	5	35.81	41.81	CeTian_BingQiLinZhiWei_5_35.81_41.81.wav	TRUE	mp3	196.17	FALSE	??	?????
78	CeTian	BingQiLinZhiWei	6	41.81	46.61	CeTian_BingQiLinZhiWei_6_41.81_46.61.wav	TRUE	mp3	196.17	FALSE	??	?????
79	CeTian	BingQiLinZhiWei	7	47.91	51.15	CeTian_BingQiLinZhiWei_7_47.91_51.15.wav	TRUE	mp3	196.17	FALSE	??	?????
80	CeTian	BingQiLinZhiWei	8	51.42	53.56	CeTian_BingQiLinZhiWei_8_51.42_53.56.wav	TRUE	mp3	196.17	FALSE	??	?????
81	CeTian	BingQiLinZhiWei	9	53.83	58.05	CeTian_BingQiLinZhiWei_9_53.83_58.05.wav	TRUE	mp3	196.17	FALSE	??	?????
39	CeTian	BingQiLinZhiWei	10	58.78	61.25	CeTian_BingQiLinZhiWei_10_58.78_61.25.wav	TRUE	mp3	196.17	FALSE	??	?????
40	CeTian	BingQiLinZhiWei	11	61.43	63.87	CeTian_BingQiLinZhiWei_11_61.43_63.87.wav	TRUE	mp3	196.17	FALSE	??	?????
41	CeTian	BingQiLinZhiWei	12	64.37	67.44	CeTian_BingQiLinZhiWei_12_64.37_67.44.wav	TRUE	mp3	196.17	FALSE	??	?????
42	CeTian	BingQiLinZhiWei	13	67.79	69.81	CeTian_BingQiLinZhiWei_13_67.79_69.81.wav	TRUE	mp3	196.17	FALSE	??	?????
43	CeTian	BingQiLinZhiWei	14	69.93	72.14	CeTian_BingQiLinZhiWei_14_69.93_72.14.wav	TRUE	mp3	196.17	FALSE	??	?????
44	CeTian	BingQiLinZhiWei	15	73.88	76.76	CeTian_BingQiLinZhiWei_15_73.88_76.76.wav	TRUE	mp3	196.17	FALSE	??	?????
45	CeTian	BingQiLinZhiWei	16	77.47	81.25	CeTian_BingQiLinZhiWei_16_77.47_81.25.wav	TRUE	mp3	196.17	FALSE	??	?????
46	CeTian	BingQiLinZhiWei	17	85.04	87.37	CeTian_BingQiLinZhiWei_17_85.04_87.37.wav	TRUE	mp3	196.17	FALSE	??	?????
47	CeTian	BingQiLinZhiWei	18	91.36	95.52	CeTian_BingQiLinZhiWei_18_91.36_95.52.wav	TRUE	mp3	196.17	FALSE	??	?????
48	CeTian	BingQiLinZhiWei	19	96.95	100.21	CeTian_BingQiLinZhiWei_19_96.95_100.21.wav	TRUE	mp3	196.17	FALSE	??	?????
50	CeTian	BingQiLinZhiWei	20	101.45	104.14	CeTian_BingQiLinZhiWei_20_101.45_104.14.wav	TRUE	mp3	196.17	FALSE	??	?????
51	CeTian	BingQiLinZhiWei	21	107.38	111.6	CeTian_BingQiLinZhiWei_21_107.38_111.60.wav	TRUE	mp3	196.17	FALSE	??	?????
52	CeTian	BingQiLinZhiWei	22	112.1	116.34	CeTian_BingQiLinZhiWei_22_112.10_116.34.wav	TRUE	mp3	196.17	FALSE	??	?????
53	CeTian	BingQiLinZhiWei	23	116.72	121.03	CeTian_BingQiLinZhiWei_23_116.72_121.03.wav	TRUE	mp3	196.17	FALSE	??	?????
54	CeTian	BingQiLinZhiWei	24	121.42	127.42	CeTian_BingQiLinZhiWei_24_121.42_127.42.wav	TRUE	mp3	196.17	FALSE	??	?????
55	CeTian	BingQiLinZhiWei	25	127.42	133.42	CeTian_BingQiLinZhiWei_25_127.42_133.42.wav	TRUE	mp3	196.17	FALSE	??	?????
56	CeTian	BingQiLinZhiWei	26	133.42	134.59	CeTian_BingQiLinZhiWei_26_133.42_134.59.wav	TRUE	mp3	196.17	FALSE	??	?????
57	CeTian	BingQiLinZhiWei	27	136.48	138.55	CeTian_BingQiLinZhiWei_27_136.48_138.55.wav	TRUE	mp3	196.17	FALSE	??	?????
58	CeTian	BingQiLinZhiWei	28	138.85	140.85	CeTian_BingQiLinZhiWei_28_138.85_140.85.wav	TRUE	mp3	196.17	FALSE	??	?????
59	CeTian	BingQiLinZhiWei	29	141.13	145.54	CeTian_BingQiLinZhiWei_29_141.13_145.54.wav	TRUE	mp3	196.17	FALSE	??	?????
61	CeTian	BingQiLinZhiWei	30	146.23	148.58	CeTian_BingQiLinZhiWei_30_146.23_148.58.wav	TRUE	mp3	196.17	FALSE	??	?????
62	CeTian	BingQiLinZhiWei	31	148.8	151.29	CeTian_BingQiLinZhiWei_31_148.80_151.29.wav	TRUE	mp3	196.17	FALSE	??	?????
63	CeTian	BingQiLinZhiWei	32	151.73	154.72	CeTian_BingQiLinZhiWei_32_151.73_154.72.wav	TRUE	mp3	196.17	FALSE	??	?????
64	CeTian	BingQiLinZhiWei	33	155.12	157.21	CeTian_BingQiLinZhiWei_33_155.12_157.21.wav	TRUE	mp3	196.17	FALSE	??	?????
65	CeTian	BingQiLinZhiWei	34	159.81	164.13	CeTian_BingQiLinZhiWei_34_159.81_164.13.wav	TRUE	mp3	196.17	FALSE	??	?????
66	CeTian	BingQiLinZhiWei	35	164.78	166.61	CeTian_BingQiLinZhiWei_35_164.78_166.61.wav	TRUE	mp3	196.17	FALSE	??	?????
67	CeTian	BingQiLinZhiWei	36	167.43	169.8	CeTian_BingQiLinZhiWei_36_167.43_169.80.wav	TRUE	mp3	196.17	FALSE	??	?????
68	CeTian	BingQiLinZhiWei	37	170.36	172.27	CeTian_BingQiLinZhiWei_37_170.36_172.27.wav	TRUE	mp3	196.17	FALSE	??	?????
69	CeTian	BingQiLinZhiWei	38	172.43	174.77	CeTian_BingQiLinZhiWei_38_172.43_174.77.wav	TRUE	mp3	196.17	FALSE	??	?????
70	CeTian	BingQiLinZhiWei	39	174.78	176.42	CeTian_BingQiLinZhiWei_39_174.78_176.42.wav	TRUE	mp3	196.17	FALSE	??	?????
72	CeTian	BingQiLinZhiWei	40	178.75	183.14	CeTian_BingQiLinZhiWei_40_178.75_183.14.wav	TRUE	mp3	196.17	FALSE	??	?????
73	CeTian	BingQiLinZhiWei	41	184.38	188.01	CeTian_BingQiLinZhiWei_41_184.38_188.01.wav	TRUE	mp3	196.17	FALSE	??	?????
74	CeTian	BingQiLinZhiWei	42	188.96	192.43	CeTian_BingQiLinZhiWei_42_188.96_192.43.wav	TRUE	mp3	196.17	FALSE	??	?????
75	CeTian	BingQiLinZhiWei	43	193.63	196.17	CeTian_BingQiLinZhiWei_43_193.63_196.17.wav	TRUE	mp3	196.17	FALSE	??	?????
92	CeTian	BuKeYiShi	1	23.39	28.89	CeTian_BuKeYiShi_1_23.39_28.89.wav	TRUE	ape	214.28	FALSE	??	????
103	CeTian	BuKeYiShi	2	30.65	32.37	CeTian_BuKeYiShi_2_30.65_32.37.wav	TRUE	ape	214.28	FALSE	??	????
113	CeTian	BuKeYiShi	3	32.38	35.43	CeTian_BuKeYiShi_3_32.38_35.43.wav	TRUE	ape	214.28	FALSE	??	????
114	CeTian	BuKeYiShi	4	37.8	43.8	CeTian_BuKeYiShi_4_37.80_43.80.wav	TRUE	ape	214.28	FALSE	??	????
115	CeTian	BuKeYiShi	5	43.8	44.5	CeTian_BuKeYiShi_5_43.80_44.50.wav	TRUE	ape	214.28	FALSE	??	????
116	CeTian	BuKeYiShi	6	45.64	50.4	CeTian_BuKeYiShi_6_45.64_50.40.wav	TRUE	ape	214.28	FALSE	??	????
117	CeTian	BuKeYiShi	7	51.17	55.89	CeTian_BuKeYiShi_7_51.17_55.89.wav	TRUE	ape	214.28	FALSE	??	????
118	CeTian	BuKeYiShi	8	56.11	59.68	CeTian_BuKeYiShi_8_56.11_59.68.wav	TRUE	ape	214.28	FALSE	??	????
119	CeTian	BuKeYiShi	9	62.95	66.38	CeTian_BuKeYiShi_9_62.95_66.38.wav	TRUE	ape	214.28	FALSE	??	????
82	CeTian	BuKeYiShi	10	67.35	73.35	CeTian_BuKeYiShi_10_67.35_73.35.wav	TRUE	ape	214.28	FALSE	??	????
83	CeTian	BuKeYiShi	11	73.35	78.69	CeTian_BuKeYiShi_11_73.35_78.69.wav	TRUE	ape	214.28	FALSE	??	????
84	CeTian	BuKeYiShi	12	78.95	84.95	CeTian_BuKeYiShi_12_78.95_84.95.wav	TRUE	ape	214.28	FALSE	??	????
85	CeTian	BuKeYiShi	13	84.95	90.95	CeTian_BuKeYiShi_13_84.95_90.95.wav	TRUE	ape	214.28	FALSE	??	????
86	CeTian	BuKeYiShi	14	90.95	96.95	CeTian_BuKeYiShi_14_90.95_96.95.wav	TRUE	ape	214.28	FALSE	??	????
87	CeTian	BuKeYiShi	15	96.95	97.63	CeTian_BuKeYiShi_15_96.95_97.63.wav	TRUE	ape	214.28	FALSE	??	????
88	CeTian	BuKeYiShi	16	97.8	100.35	CeTian_BuKeYiShi_16_97.80_100.35.wav	TRUE	ape	214.28	FALSE	??	????
89	CeTian	BuKeYiShi	17	105.27	107.89	CeTian_BuKeYiShi_17_105.27_107.89.wav	TRUE	ape	214.28	FALSE	??	????
90	CeTian	BuKeYiShi	18	112.18	117.17	CeTian_BuKeYiShi_18_112.18_117.17.wav	TRUE	ape	214.28	FALSE	??	????
91	CeTian	BuKeYiShi	19	119.18	120.81	CeTian_BuKeYiShi_19_119.18_120.81.wav	TRUE	ape	214.28	FALSE	??	????
93	CeTian	BuKeYiShi	20	121.11	123.54	CeTian_BuKeYiShi_20_121.11_123.54.wav	TRUE	ape	214.28	FALSE	??	????
94	CeTian	BuKeYiShi	21	126.23	132.19	CeTian_BuKeYiShi_21_126.23_132.19.wav	TRUE	ape	214.28	FALSE	??	????
95	CeTian	BuKeYiShi	22	134.12	138.39	CeTian_BuKeYiShi_22_134.12_138.39.wav	TRUE	ape	214.28	FALSE	??	????
96	CeTian	BuKeYiShi	23	140.22	144.03	CeTian_BuKeYiShi_23_140.22_144.03.wav	TRUE	ape	214.28	FALSE	??	????
97	CeTian	BuKeYiShi	24	144.06	147.69	CeTian_BuKeYiShi_24_144.06_147.69.wav	TRUE	ape	214.28	FALSE	??	????
98	CeTian	BuKeYiShi	25	147.73	149.9	CeTian_BuKeYiShi_25_147.73_149.90.wav	TRUE	ape	214.28	FALSE	??	????
99	CeTian	BuKeYiShi	26	150.89	156.89	CeTian_BuKeYiShi_26_150.89_156.89.wav	TRUE	ape	214.28	FALSE	??	????
100	CeTian	BuKeYiShi	27	156.89	162.89	CeTian_BuKeYiShi_27_156.89_162.89.wav	TRUE	ape	214.28	FALSE	??	????
101	CeTian	BuKeYiShi	28	162.89	163.89	CeTian_BuKeYiShi_28_162.89_163.89.wav	TRUE	ape	214.28	FALSE	??	????
102	CeTian	BuKeYiShi	29	170.33	176.33	CeTian_BuKeYiShi_29_170.33_176.33.wav	TRUE	ape	214.28	FALSE	??	????
