Songs,Songs_rename,Singers,Singers_rename
15,15,Mr.,Mr.
5x幻覺,5xHuanJue,Mr.,Mr.
Dance Floor,DanceFloor,Mr.,Mr.
Everyone (DJ Mix Version),Everyone(DJMixVersion),Mr.,Mr.
Everyone (James Holroyd Remix) (Bonus Track),Everyone(JamesHolroydRemix)(BonusTrack),Mr.,Mr.
Everyone(Cyber Clash),Everyone(CyberClash),Mr.,Mr.
Everyone,Everyone,Mr.,Mr.
From The Space,FromTheSpace,Mr.,Mr.
Go(粵),Go(Yue),Mr.,Mr.
Me,Me,Mr.,Mr.
Merry Christmas To You,MerryChristmasToYou,Mr.,Mr.
Mister,Mister,Mr.,Mr.
Mr. Tam (Pre-rocker One Take Version),Mr.Tam(Pre-rockerOneTakeVersion),Mr.,Mr.
No Fear,NoFear,Mr.,Mr.
Overture…,Overture…,Mr.,Mr.
Storm,Storm,Mr.,Mr.
Tonight Tonight,TonightTonight,Mr.,Mr.
Voice Mail Message + 戰禍,VoiceMailMessage+ZhanHuo,Mr.,Mr.
Voice Mail Message +戰禍,VoiceMailMessage+ZhanHuo,Mr.,Mr.
Wake Up,WakeUp,Mr.,Mr.
What R We Fighting 4,WhatRWeFighting4,Mr.,Mr.
一句(really game live 2015),YiJu(reallygamelive2015),Mr.,Mr.
一句,YiJu,Mr.,Mr.
一首情歌,YiShouQingGe,Mr.,Mr.
不屈,BuQu,Mr.,Mr.
中伏,ZhongFu,Mr.,Mr.
事事有天知(粵),ShiShiYouTianZhi(Yue),Mr.,Mr.
人一世物一世,RenYiShiWuYiShi,Mr.,Mr.
人間遊戲,RenJianYouXi,Mr.,Mr.
今天怎麼了,JinTianZenMaLiao,Mr.,Mr.
假使,JiaShi,Mr.,Mr.
偷喝酒的故事(粵),TouHeJiuDeGuShi(Yue),Mr.,Mr.
兩大無猜,LiangDaWuCai,Mr.,Mr.
兩愛三地,LiangAiSanDi,Mr.,Mr.
六時零十五十六分(粵),LiuShiLingShiWuShiLiuFen(Yue),Mr.,Mr.
再見,ZaiJian,Mr.,Mr.
再難又如何(粵),ZaiNanYouRuHe(Yue),Mr.,Mr.
口罩,KouZhao,Mr.,Mr.
只好再見,ZhiHaoZaiJian,Mr.,Mr.
同進,TongJin,Mr.,Mr.
告別寂寞號,GaoBieJiMoHao,Mr.,Mr.
天下(really game live 2015),TianXia(reallygamelive2015),Mr.,Mr.
天下,TianXia,Mr.,Mr.
天知道,TianZhiDao,Mr.,Mr.
太匆匆,TaiCongCong,Mr.,Mr.
如果我是陳奕迅(Creeping Death Mix),RuGuoWoShiChenYiXun(CreepingDeathMix),Mr.,Mr.
如果我是陳奕迅(國語),RuGuoWoShiChenYiXun(GuoYu),Mr.,Mr.
如果我是陳奕迅,RuGuoWoShiChenYiXun,Mr.,Mr.
宅男日記(粵),ZhaiNanRiJi(Yue),Mr.,Mr.
安歌,AnGe,Mr.,Mr.
尋找一千遍(Crystal Burn Remix),XunZhaoYiQianBian(CrystalBurnRemix),Mr.,Mr.
尋找一千遍(粵),XunZhaoYiQianBian(Yue),Mr.,Mr.
尋找一千遍,XunZhaoYiQianBian,Mr.,Mr.
對錯論,DuiCuoLun,Mr.,Mr.
小傳奇,XiaoChuanQi,Mr.,Mr.
就這樣忘掉...,JiuZheYangWangDiao...,Mr.,Mr.
就這樣忘掉你,JiuZheYangWangDiaoNi,Mr.,Mr.
從前說,CongQianShuo,Mr.,Mr.
恭敬不如從命,GongJingBuRuCongMing,Mr.,Mr.
想太多(Tonal Groove Remix),XiangTaiDuo(TonalGrooveRemix),Mr.,Mr.
想太多(粵),XiangTaiDuo(Yue),Mr.,Mr.
想太多,XiangTaiDuo,Mr.,Mr.
愛你(really game live 2015),AiNi(reallygamelive2015),Mr.,Mr.
愛你,AiNi,Mr.,Mr.
愛有限,AiYouXian,Mr.,Mr.
愛與和平,AiYuHePing,Mr.,Mr.
感動(Electronicy),GanDong(Electronicy),Mr.,Mr.
感動(really game live 2015),GanDong(reallygamelive2015),Mr.,Mr.
感動,GanDong,Mr.,Mr.
我要走更遠,WoYaoZouGengYuan,Mr.,Mr.
換畫,HuanHua,Mr.,Mr.
搏一鋪,BoYiPu,Mr.,Mr.
搖擺(Rock Hed Mix),YaoBai(RockHedMix),Mr.,Mr.
搖擺,YaoBai,Mr.,Mr.
新平衡,XinPingHeng,Mr.,Mr.
方向感,FangXiangGan,Mr.,Mr.
昨天 (The German Story),ZuoTian(TheGermanStory),Mr.,Mr.
昨天(really game live 2015),ZuoTian(reallygamelive2015),Mr.,Mr.
